,test_number,folder,scene,dist_met,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,Sum
30,1,sideboard_pin_001,sideboard,pin,5.0,4.5,4.3,5.0,5.0,4.4,5.0,4.8,4.9,4.6,3.0,5.0,5.0,3.4,4.6,5.0,4.59375
31,1,sideboard_pin_002,sideboard,pin,4.0,4.5,4.1,5.0,5.0,4.2,5.0,4.6,5.0,4.6,3.9,3.4,4.3,3.4,4.6,4.0,4.35
32,1,sideboard_pin_003,sideboard,pin,4.0,5.0,4.9,5.0,5.0,4.3,5.0,4.7,5.0,4.8,4.0,3.3,4.7,2.8,4.5,5.0,4.5
33,1,sideboard_pin_004,sideboard,pin,4.0,2.1,2.2,5.0,2.7,4.9,5.0,2.0,5.0,3.2,4.0,1.3,2.9,4.6,3.7,5.0,3.6
34,1,sideboard_pin_005,sideboard,pin,1.0,2.1,2.0,3.9,2.5,1.0,4.0,1.4,1.8,1.4,2.1,1.2,1.0,2.0,2.4,3.8,2.0999999999999996
35,1,sideboard_sal_001,sideboard,sal,4.5,4.5,3.8,5.0,4.0,4.6,3.5,3.5,3.2,3.6,5.0,3.7,3.2,4.7,5.0,5.0,4.175000000000001
36,1,sideboard_sal_002,sideboard,sal,4.0,2.5,2.0,3.1,3.8,2.4,3.1,4.2,1.9,5.0,3.9,3.0,2.9,3.0,2.7,4.0,3.21875
37,1,sideboard_sal_003,sideboard,sal,4.0,3.1,1.1,1.7,3.5,2.2,2.1,2.5,2.5,2.8,2.1,1.6,1.3,3.7,2.1,4.1,2.5250000000000004
38,1,sideboard_sal_004,sideboard,sal,2.5,2.0,1.0,2.7,3.5,2.7,2.0,2.2,2.2,3.8,2.1,1.8,2.0,3.2,1.8,3.5,2.4375
39,1,sideboard_sal_005,sideboard,sal,1.5,1.0,1.0,2.0,2.5,1.9,1.0,2.1,1.0,2.6,1.0,1.0,1.3,2.1,2.0,2.4,1.6500000000000001
40,1,sideboard_uns_001,sideboard,uns,5.0,4.1,5.0,5.0,4.0,5.0,5.0,4.4,5.0,4.6,5.0,5.0,3.3,4.2,4.8,5.0,4.6499999999999995
41,1,sideboard_uns_002,sideboard,uns,4.0,4.0,4.5,4.1,5.0,4.5,5.0,3.1,4.0,3.0,5.0,3.2,4.0,2.0,4.2,4.0,3.9750000000000005
42,1,sideboard_uns_003,sideboard,uns,3.5,4.0,3.9,4.1,3.5,4.0,4.6,2.0,4.4,3.3,5.0,3.0,3.0,3.7,3.2,4.1,3.7062500000000003
43,1,sideboard_uns_004,sideboard,uns,1.0,3.5,3.1,3.8,2.5,3.5,4.6,1.3,4.6,1.7,3.0,1.7,1.0,3.0,2.4,4.0,2.7937499999999997
44,1,sideboard_uns_005,sideboard,uns,1.0,2.4,3.0,3.0,2.0,3.0,3.5,1.0,3.5,2.0,1.0,2.2,1.0,3.3,2.0,4.0,2.36875
45,1,sideboard_vp9_01,sideboard,vp9,1.0,2.5,1.2,4.3,2.5,1.7,4.1,4.8,1.5,1.0,2.1,2.9,2.5,2.6,2.3,2.6,2.4749999999999996
46,1,sideboard_vp9_05,sideboard,vp9,2.1,2.1,1.9,4.8,2.5,3.4,4.1,2.1,2.1,1.6,2.1,2.4,2.6,2.4,2.3,2.9,2.5875
47,1,sideboard_vp9_15,sideboard,vp9,2.5,3.5,3.5,5.0,4.0,4.9,5.0,4.6,3.3,1.4,3.0,4.5,4.5,3.6,4.4,5.0,3.9187499999999997
48,1,sideboard_vp9_25,sideboard,vp9,3.1,4.5,4.8,5.0,4.0,4.5,5.0,3.9,3.8,4.7,2.1,4.5,3.3,4.5,4.4,3.6,4.106249999999999
49,1,sideboard_vp9_75,sideboard,vp9,5.0,4.5,5.0,1.0,5.0,5.0,5.0,4.3,5.0,4.2,3.0,3.1,3.8,4.9,5.0,5.0,4.3
50,1,sideboard_x264_01,sideboard,x264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,1,sideboard_x264_05,sideboard,x264,2.0,3.5,1.5,4.7,3.0,2.2,5.0,3.0,1.3,1.3,2.1,2.9,2.5,2.4,3.7,2.7,2.7375000000000003
52,1,sideboard_x264_15,sideboard,x264,2.0,3.0,5.0,5.0,4.0,4.9,5.0,3.2,4.1,4.2,4.0,3.7,3.2,3.9,5.0,4.8,4.062500000000001
53,1,sideboard_x264_25,sideboard,x264,2.8,3.6,5.0,4.7,5.0,5.0,4.6,3.0,5.0,4.5,4.0,4.0,4.7,4.1,4.8,5.0,4.362500000000001
54,1,sideboard_x264_75,sideboard,x264,4.5,4.0,5.0,5.0,5.0,4.7,5.0,4.7,5.0,4.7,5.0,4.1,2.7,3.3,4.7,5.0,4.525
55,1,sideboard_x265_01,sideboard,x265,1.0,1.0,1.0,1.0,1.5,3.3,2.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.3,1.0,1.2625
56,1,sideboard_x265_05,sideboard,x265,1.1,4.0,1.6,3.0,2.0,2.3,2.6,3.5,2.0,2.4,1.0,3.1,2.0,2.5,1.8,2.5,2.3375
57,1,sideboard_x265_15,sideboard,x265,2.5,3.0,3.4,4.1,3.5,3.4,5.0,3.3,1.7,3.6,3.0,3.0,4.5,2.8,2.9,3.7,3.3375
58,1,sideboard_x265_25,sideboard,x265,2.7,5.0,4.7,4.8,4.0,4.0,5.0,3.6,4.9,2.2,3.0,4.9,3.7,3.4,4.2,4.5,4.0375
59,1,sideboard_x265_75,sideboard,x265,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.8,5.0,4.9,5.0,5.0,3.8,5.0,5.0,5.0,4.71875
60,1,vinyl_av1_01,vinyl,av1,2.0,4.5,2.5,4.9,3.5,4.8,4.6,2.0,1.9,4.4,4.0,1.3,4.3,3.9,3.5,4.5,3.537499999999999
61,1,vinyl_av1_05,vinyl,av1,4.0,5.0,5.0,4.6,5.0,4.7,5.0,4.7,5.0,4.7,5.0,5.0,5.0,3.8,5.0,5.0,4.78125
62,1,vinyl_av1_15,vinyl,av1,5.0,4.5,4.8,5.0,5.0,4.0,5.0,3.7,4.7,4.9,5.0,3.7,4.2,4.8,4.7,5.0,4.625000000000001
63,1,vinyl_av1_25,vinyl,av1,4.5,4.1,5.0,5.0,5.0,4.6,5.0,4.2,5.0,4.4,4.0,3.5,4.9,4.0,4.6,5.0,4.55
64,1,vinyl_av1_75,vinyl,av1,4.0,4.0,4.8,5.0,5.0,5.0,5.0,3.9,5.0,4.4,5.0,4.9,4.7,4.2,4.9,4.5,4.64375
65,1,vinyl_bar_001,vinyl,bar,5.0,4.5,4.9,5.0,5.0,4.1,5.0,4.4,4.6,4.3,5.0,4.5,5.0,4.0,4.7,5.0,4.6875
66,1,vinyl_bar_002,vinyl,bar,4.0,5.0,5.0,5.0,5.0,4.3,5.0,4.8,5.0,2.8,4.0,5.0,5.0,3.9,4.9,5.0,4.606249999999999
67,1,vinyl_bar_003,vinyl,bar,4.0,3.5,4.9,5.0,5.0,4.9,5.0,4.6,4.9,3.3,4.0,4.7,3.3,2.8,4.7,4.3,4.3062499999999995
68,1,vinyl_bar_004,vinyl,bar,3.0,3.5,4.5,4.9,5.0,5.0,5.0,4.4,4.1,4.2,4.0,3.0,4.0,2.9,3.8,5.0,4.14375
69,1,vinyl_bar_005,vinyl,bar,4.0,4.0,2.5,5.0,2.5,1.5,3.5,1.2,2.1,2.1,4.0,2.1,2.2,3.7,2.1,4.1,2.912500000000001
70,1,vinyl_bpg_25,vinyl,bpg,1.5,3.1,2.1,3.4,3.0,3.0,4.0,3.9,2.4,3.4,4.0,2.2,2.9,3.0,2.2,3.0,2.94375
71,1,vinyl_bpg_375,vinyl,bpg,4.0,4.5,3.5,4.6,3.5,3.1,5.0,4.7,4.9,4.4,4.0,3.1,2.9,4.9,2.9,4.3,4.01875
72,1,vinyl_bpg_5,vinyl,bpg,3.1,4.5,4.6,5.0,4.0,4.0,5.0,4.6,5.0,4.5,5.0,3.9,4.5,3.7,3.7,3.7,4.3
73,1,vinyl_bpg_625,vinyl,bpg,4.5,5.0,4.7,5.0,5.0,4.9,5.0,4.5,4.7,4.0,5.0,4.5,5.0,3.2,4.8,3.9,4.60625
74,1,vinyl_bpg_75,vinyl,bpg,3.5,5.0,4.8,5.0,5.0,4.4,5.0,4.2,5.0,4.7,5.0,4.1,3.8,4.8,4.9,4.6,4.612500000000001
75,1,vinyl_gau_001,vinyl,gau,4.0,5.0,5.0,4.9,5.0,5.0,5.0,4.1,4.4,3.8,5.0,4.0,3.8,3.9,4.5,4.4,4.4875
76,1,vinyl_gau_002,vinyl,gau,3.0,3.0,2.4,2.6,4.0,2.9,4.6,3.1,1.9,4.0,3.1,3.5,2.2,4.2,3.0,3.5,3.1875000000000004
77,1,vinyl_gau_003,vinyl,gau,2.5,2.0,2.4,1.9,3.7,2.5,3.9,2.1,1.7,3.1,3.0,4.0,2.8,3.0,2.1,3.1,2.7375
78,1,vinyl_gau_004,vinyl,gau,2.0,2.0,2.0,2.1,3.5,2.0,2.3,2.1,2.1,1.9,1.0,2.0,2.2,2.1,1.9,3.5,2.16875
79,1,vinyl_gau_005,vinyl,gau,1.4,1.5,1.5,2.0,2.5,2.0,2.0,2.1,1.0,1.9,1.0,1.8,1.3,2.5,1.4,3.0,1.80625
80,1,vinyl_jp2_25,vinyl,jp2,2.0,2.1,3.0,4.0,2.0,1.9,3.9,1.6,1.9,1.4,3.0,1.7,1.0,2.2,1.8,2.3,2.2374999999999994
81,1,vinyl_jp2_375,vinyl,jp2,2.0,3.1,2.3,3.2,2.5,2.9,3.5,3.3,2.3,3.8,3.1,2.6,3.0,2.9,3.5,2.6,2.9125
82,1,vinyl_jp2_5,vinyl,jp2,2.4,4.5,4.0,4.0,3.8,4.9,4.2,4.7,3.2,3.7,5.0,3.0,3.0,3.4,2.6,3.4,3.7375000000000003
83,1,vinyl_jp2_625,vinyl,jp2,3.0,5.0,4.0,4.4,3.5,3.7,4.6,4.9,2.5,4.2,5.0,3.2,2.6,5.0,3.9,4.0,3.96875
84,1,vinyl_jp2_75,vinyl,jp2,3.1,4.5,4.6,5.0,4.0,4.0,4.4,4.9,5.0,4.2,5.0,3.6,4.3,4.2,5.0,4.6,4.4
85,1,vinyl_jpg_25,vinyl,jpg,1.0,1.0,1.0,1.1,1.0,1.3,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.04375
86,1,vinyl_jpg_375,vinyl,jpg,1.0,1.6,1.9,2.1,2.5,1.6,3.3,3.0,2.2,1.6,2.1,2.0,1.1,2.2,2.5,2.0,2.04375
87,1,vinyl_jpg_5,vinyl,jpg,1.8,3.1,3.1,5.0,3.0,3.1,4.4,4.7,3.2,2.2,3.1,2.1,2.0,2.3,3.1,2.3,3.03125
88,1,vinyl_jpg_625,vinyl,jpg,3.0,4.1,3.2,5.0,3.6,4.8,4.6,3.4,1.6,2.4,3.0,2.0,2.2,3.0,3.9,3.7,3.3437500000000004
89,1,vinyl_jpg_75,vinyl,jpg,3.0,4.0,4.0,5.0,4.0,5.0,5.0,4.8,5.0,3.4,3.9,4.0,3.7,2.8,3.2,3.9,4.04375
90,1,vinyl_pin_001,vinyl,pin,5.0,4.4,4.1,5.0,5.0,4.9,4.7,4.6,5.0,4.6,5.0,4.9,4.9,4.6,4.6,4.4,4.73125
91,1,vinyl_pin_002,vinyl,pin,3.1,3.5,5.0,5.0,5.0,4.4,5.0,4.4,5.0,3.7,5.0,5.0,4.0,3.8,5.0,5.0,4.49375
92,1,vinyl_pin_003,vinyl,pin,4.0,3.6,4.9,5.0,5.0,2.6,5.0,3.8,5.0,5.0,4.0,4.5,4.3,3.1,5.0,4.4,4.325
93,1,vinyl_pin_004,vinyl,pin,4.0,4.5,3.1,5.0,5.0,4.2,5.0,2.1,4.8,4.4,5.0,5.0,2.3,3.0,3.3,3.8,4.031249999999999
94,1,vinyl_pin_005,vinyl,pin,2.1,4.5,2.3,5.0,3.5,1.5,3.0,2.1,3.0,3.6,5.0,5.0,1.1,2.6,2.8,4.0,3.19375
95,1,vinyl_sal_001,vinyl,sal,4.0,4.0,2.0,5.0,3.5,3.1,3.5,3.6,1.9,3.7,4.0,1.0,3.3,4.9,2.4,4.5,3.4
96,1,vinyl_sal_002,vinyl,sal,3.0,2.0,1.1,2.4,3.5,3.0,2.0,3.1,2.9,2.0,2.1,1.7,1.1,2.7,1.8,3.9,2.39375
97,1,vinyl_sal_003,vinyl,sal,1.8,1.5,1.0,2.4,3.0,3.0,2.0,2.5,1.9,2.5,1.0,1.9,1.0,2.9,1.8,3.6,2.1125
98,1,vinyl_sal_004,vinyl,sal,1.8,2.0,1.0,1.6,3.0,2.0,2.2,1.8,1.0,2.6,1.0,1.8,1.0,3.2,1.4,3.2,1.9125
99,1,vinyl_sal_005,vinyl,sal,1.0,1.0,1.0,1.0,2.0,1.8,1.0,1.0,1.0,2.4,1.0,1.0,1.0,3.0,1.4,2.0,1.4125
100,1,vinyl_uns_001,vinyl,uns,4.0,4.5,4.9,5.0,5.0,2.6,5.0,4.1,5.0,4.5,5.0,5.0,4.9,5.0,4.9,5.0,4.65
101,1,vinyl_uns_002,vinyl,uns,4.0,4.0,4.5,4.1,4.0,4.0,5.0,4.2,5.0,3.8,5.0,4.6,4.7,4.5,4.1,5.0,4.40625
102,1,vinyl_uns_003,vinyl,uns,2.0,4.0,4.1,3.9,3.7,3.9,4.0,3.6,5.0,4.0,5.0,4.1,4.0,4.0,3.7,4.0,3.9375000000000004
103,1,vinyl_uns_004,vinyl,uns,1.5,4.0,2.9,4.0,3.5,3.7,4.1,3.1,4.6,4.5,3.9,3.0,3.7,3.3,4.1,4.1,3.6250000000000004
104,1,vinyl_uns_005,vinyl,uns,1.0,4.0,3.5,4.1,3.7,3.5,2.4,1.5,4.6,2.4,1.0,2.5,2.4,3.2,3.7,3.6,2.94375
105,1,vinyl_vp9_01,vinyl,vp9,2.0,2.0,2.5,3.9,2.5,3.1,4.1,2.5,1.9,2.6,2.1,2.3,1.0,2.5,2.0,1.5,2.40625
106,1,vinyl_vp9_05,vinyl,vp9,4.0,2.0,4.9,4.7,5.0,5.0,5.0,4.4,4.7,4.2,5.0,4.4,4.3,4.5,4.7,4.0,4.425
107,1,vinyl_vp9_15,vinyl,vp9,4.5,4.5,4.9,5.0,5.0,4.5,5.0,4.0,4.8,4.5,5.0,5.0,5.0,4.9,4.8,5.0,4.7749999999999995
108,1,vinyl_vp9_25,vinyl,vp9,4.0,4.5,4.9,5.0,5.0,5.0,5.0,4.0,5.0,4.3,5.0,5.0,5.0,3.2,4.7,5.0,4.6625
109,1,vinyl_vp9_75,vinyl,vp9,3.2,4.5,5.0,5.0,5.0,4.7,5.0,4.7,5.0,4.3,2.0,4.7,3.2,4.6,4.4,5.0,4.393750000000001
110,1,vinyl_x264_01,vinyl,x264,1.1,1.6,2.5,2.0,2.5,3.2,4.1,2.5,1.0,1.7,1.0,1.0,2.2,2.2,2.8,2.0,2.0875
111,1,vinyl_x264_05,vinyl,x264,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.4,5.0,4.2,5.0,4.0,4.9,4.9,4.6,5.0,4.75
112,1,vinyl_x264_15,vinyl,x264,4.0,4.0,4.9,5.0,5.0,4.0,5.0,4.7,5.0,4.6,5.0,5.0,4.9,4.2,4.6,5.0,4.6812499999999995
113,1,vinyl_x264_25,vinyl,x264,4.0,4.5,4.7,5.0,5.0,4.8,5.0,4.9,5.0,5.0,5.0,4.7,5.0,4.3,4.7,5.0,4.7875000000000005
114,1,vinyl_x264_75,vinyl,x264,5.0,4.5,4.9,5.0,4.0,3.9,5.0,4.1,5.0,5.0,5.0,5.0,4.9,4.5,4.7,5.0,4.71875
115,1,vinyl_x265_01,vinyl,x265,2.0,3.1,2.7,1.8,2.0,1.7,4.1,2.6,2.2,1.0,2.1,1.6,1.0,2.5,2.0,2.3,2.16875
116,1,vinyl_x265_05,vinyl,x265,3.0,3.1,4.9,4.8,4.0,5.0,5.0,4.0,4.6,3.2,5.0,1.9,4.9,4.6,5.0,4.7,4.23125
117,1,vinyl_x265_15,vinyl,x265,4.0,4.5,5.0,5.0,4.0,4.5,5.0,4.5,5.0,4.2,5.0,4.2,4.9,4.5,5.0,5.0,4.643750000000001
118,1,vinyl_x265_25,vinyl,x265,4.9,4.5,4.3,5.0,4.0,4.6,5.0,4.8,5.0,5.0,3.9,5.0,4.7,4.7,4.6,4.8,4.674999999999999
119,1,vinyl_x265_75,vinyl,x265,4.0,4.0,4.9,5.0,5.0,4.0,5.0,4.5,5.0,4.3,3.9,5.0,3.8,4.2,4.7,5.0,4.51875
120,2,boxes_av1_01,boxes,av1,2.0,2.0,1.4,3.1,2.7,3.3,4.1,3.5,2.2,1.5,3.1,1.5,1.0,2.8,3.2,2.7,2.5062500000000005
121,2,boxes_av1_05,boxes,av1,3.5,4.0,3.9,4.3,4.0,4.4,5.0,3.0,5.0,5.0,4.0,4.4,4.2,4.4,4.7,5.0,4.300000000000001
122,2,boxes_av1_15,boxes,av1,4.0,5.0,4.1,4.5,5.0,5.0,5.0,3.5,5.0,3.9,5.0,4.3,4.9,4.6,4.7,5.0,4.59375
123,2,boxes_av1_25,boxes,av1,5.0,4.5,4.0,4.7,5.0,5.0,5.0,4.7,5.0,2.7,4.0,4.8,5.0,4.0,5.0,4.8,4.575
124,2,boxes_av1_75,boxes,av1,5.0,5.0,4.9,4.8,5.0,4.3,5.0,3.5,5.0,4.6,5.0,4.2,4.9,4.0,4.7,5.0,4.68125
125,2,boxes_bar_001,boxes,bar,5.0,4.5,5.0,5.0,5.0,4.1,5.0,4.5,5.0,3.9,4.0,3.2,4.9,4.3,4.4,4.9,4.54375
126,2,boxes_bar_002,boxes,bar,5.0,4.0,5.0,4.1,5.0,3.1,5.0,4.8,5.0,3.9,4.0,4.1,4.9,3.6,5.0,4.8,4.45625
127,2,boxes_bar_003,boxes,bar,4.8,4.0,5.0,4.9,5.0,2.4,5.0,3.9,5.0,4.7,5.0,5.0,4.9,3.0,4.5,3.6,4.418749999999999
128,2,boxes_bar_004,boxes,bar,2.4,5.0,3.6,4.7,3.8,2.2,5.0,1.8,5.0,3.5,4.0,4.8,1.0,2.7,3.0,4.1,3.5375
129,2,boxes_bar_005,boxes,bar,1.0,1.5,2.1,3.2,2.7,1.0,3.1,2.1,1.0,1.6,1.0,2.1,1.0,2.8,2.9,3.2,2.0187500000000003
130,2,boxes_bpg_25,boxes,bpg,3.0,2.0,2.2,2.4,3.2,2.6,4.5,4.5,2.2,2.7,2.0,2.8,1.7,2.5,2.7,2.9,2.74375
131,2,boxes_bpg_375,boxes,bpg,2.1,5.0,3.2,4.6,3.3,4.0,4.0,4.7,3.0,3.8,4.1,3.5,4.7,2.3,3.1,3.8,3.6999999999999997
132,2,boxes_bpg_5,boxes,bpg,4.0,4.5,3.9,4.1,3.7,3.7,4.6,4.6,4.5,4.3,3.0,3.7,4.8,3.0,4.1,5.0,4.09375
133,2,boxes_bpg_625,boxes,bpg,4.0,4.5,4.0,5.0,4.0,3.7,5.0,4.6,5.0,1.5,4.0,4.7,5.0,4.0,5.0,5.0,4.3125
134,2,boxes_bpg_75,boxes,bpg,4.0,4.0,4.9,4.3,5.0,4.6,4.4,4.7,5.0,2.7,5.0,4.5,4.8,3.6,4.2,4.6,4.39375
135,2,boxes_gau_001,boxes,gau,5.0,4.0,4.9,4.2,5.0,4.1,4.6,4.7,4.9,4.6,4.0,4.0,4.7,3.3,4.7,5.0,4.48125
136,2,boxes_gau_002,boxes,gau,3.0,2.1,2.2,3.3,4.0,2.6,3.6,4.0,3.3,2.0,3.1,4.0,2.2,3.1,2.8,3.9,3.075
137,2,boxes_gau_003,boxes,gau,3.0,2.0,2.1,3.0,3.5,2.4,2.9,2.1,3.1,2.8,2.1,3.4,2.3,2.5,2.3,3.6,2.69375
138,2,boxes_gau_004,boxes,gau,3.0,1.5,1.7,2.2,3.0,2.1,2.5,2.0,2.7,2.1,1.0,3.0,1.8,2.0,2.8,2.1,2.21875
139,2,boxes_gau_005,boxes,gau,1.5,1.5,1.7,2.0,2.5,1.0,2.0,2.5,2.3,1.8,1.0,3.3,2.2,1.9,2.1,2.6,1.9937500000000001
140,2,boxes_jp2_25,boxes,jp2,2.0,1.8,2.0,1.9,2.5,2.4,2.5,3.3,1.4,1.7,2.0,2.9,1.3,2.0,1.8,1.9,2.0875
141,2,boxes_jp2_375,boxes,jp2,3.0,3.0,2.7,2.4,3.0,3.0,4.0,3.8,2.4,2.6,2.1,2.8,1.7,1.7,2.7,3.0,2.7437500000000004
142,2,boxes_jp2_5,boxes,jp2,2.1,3.0,2.9,4.0,3.3,3.3,3.6,4.0,1.4,1.9,3.0,3.1,2.9,3.1,3.1,3.1,2.9875000000000003
143,2,boxes_jp2_625,boxes,jp2,3.0,4.5,3.1,4.0,3.5,3.5,4.1,4.8,3.9,2.9,4.0,3.3,3.8,2.8,4.1,4.4,3.7312499999999997
144,2,boxes_jp2_75,boxes,jp2,3.0,5.0,2.9,3.9,3.5,4.1,4.3,4.6,5.0,4.8,4.0,4.6,4.9,2.8,3.2,4.9,4.09375
145,2,boxes_jpg_25,boxes,jpg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.08125
146,2,boxes_jpg_375,boxes,jpg,1.5,1.2,2.3,2.0,2.2,1.5,1.9,3.0,3.1,2.0,1.0,2.8,1.4,2.1,2.0,1.7,1.98125
147,2,boxes_jpg_5,boxes,jpg,2.0,1.5,3.0,3.6,3.0,2.4,3.5,4.9,2.8,2.6,2.0,3.1,1.7,2.5,2.5,2.3,2.7125
148,2,boxes_jpg_625,boxes,jpg,3.0,4.5,3.5,3.6,3.5,4.4,3.6,4.4,3.2,3.1,5.0,3.0,2.6,2.5,2.7,4.7,3.5812500000000007
